"","date","GICS_SECTOR_NAME","div_yld"
"186",2018-06-11,"Financials",2.96643473827835
"187",2018-06-11,"Information Technology",1.51001163625025
"188",2018-06-11,"Communication Services",1.56453814232531
"189",2018-06-11,"Utilities",4.48181499343614
"190",2018-06-11,"Real Estate",3.67589331754344
"191",2018-06-18,"Energy",3.57252260935178
"192",2018-06-18,"Materials",2.91605747122295
"193",2018-06-18,"Industrials",2.31696523832178
"194",2018-06-18,"Consumer Discretionary",1.81096958044143
"195",2018-06-18,"Consumer Staples",3.08148729188984
"196",2018-06-18,"Health Care",2.11290011705646
"197",2018-06-18,"Financials",3.02751332249949
"198",2018-06-18,"Information Technology",1.50250210128798
"199",2018-06-18,"Communication Services",1.55813301001332
"200",2018-06-18,"Utilities",4.37403809313587
"201",2018-06-18,"Real Estate",3.87663979914966
"202",2018-06-18,NA,NA
"203",2018-06-25,"Energy",3.56194119673913
"204",2018-06-25,"Materials",2.98923971405516
"205",2018-06-25,"Industrials",2.37864755703395
"206",2018-06-25,"Consumer Discretionary",1.85141857786101
"207",2018-06-25,"Consumer Staples",3.040583333482
"208",2018-06-25,"Health Care",2.09256874986647
"209",2018-06-25,"Financials",3.03673653897637
"210",2018-06-25,"Information Technology",1.53617503983013
"211",2018-06-25,"Communication Services",1.54629785083493
"212",2018-06-25,"Utilities",4.33455152742391
"213",2018-06-25,"Real Estate",3.80096098079195
"214",2018-07-02,"Energy",3.53802458166088
"215",2018-07-02,"Materials",3.01789945192927
"216",2018-07-02,"Industrials",2.40532436358486
"217",2018-07-02,"Consumer Discretionary",1.89159168229064
"218",2018-07-02,"Consumer Staples",3.04969798099137
"219",2018-07-02,"Health Care",2.12613974726238
"220",2018-07-02,"Financials",3.11274201703161
"221",2018-07-02,"Information Technology",1.56254543579293
"222",2018-07-02,"Communication Services",1.581004096804
"223",2018-07-02,"Utilities",4.28556284560065
"224",2018-07-02,"Real Estate",3.7844949241062
"225",2018-07-09,"Energy",3.48086442449263
"226",2018-07-09,"Materials",2.9725920179378
"227",2018-07-09,"Industrials",2.37116797499762
"228",2018-07-09,"Consumer Discretionary",1.87058736543665
"229",2018-07-09,"Consumer Staples",3.00553834781514
"230",2018-07-09,"Health Care",2.05623568304328
"231",2018-07-09,"Financials",3.05814891752356
"232",2018-07-09,"Information Technology",1.52523075923801
"233",2018-07-09,"Communication Services",1.54668965208378
"234",2018-07-09,"Utilities",4.15503498491654
"235",2018-07-09,"Real Estate",3.73508893290552
"236",2018-07-17,"Energy",3.5436060630289
"237",2018-07-17,"Materials",3.00623514355684
"238",2018-07-17,"Industrials",2.33749125043905
"239",2018-07-17,"Consumer Discretionary",1.84160978757579
"240",2018-07-17,"Consumer Staples",2.98827763781076
"241",2018-07-17,"Health Care",2.04752414679028
"242",2018-07-17,"Financials",3.03425716008138
"243",2018-07-17,"Information Technology",1.50633012294458
"244",2018-07-17,"Communication Services",1.52214526163992
"245",2018-07-17,"Utilities",4.17687460503656
"246",2018-07-17,"Real Estate",3.76421025259576
"247",2018-07-23,"Energy",3.5580145225439
"248",2018-07-23,"Materials",3.01376615855543
"249",2018-07-23,"Industrials",2.3324713458925
"250",2018-07-23,"Consumer Discretionary",1.85586980542621
"251",2018-07-23,"Consumer Staples",2.97307540863819
"252",2018-07-23,"Health Care",2.03241878835513
"253",2018-07-23,"Financials",3.02121491959765
"254",2018-07-23,"Information Technology",1.51683547795008
"255",2018-07-23,"Communication Services",1.52599239481396
"256",2018-07-23,"Utilities",4.19849990557911
"257",2018-07-23,"Real Estate",3.80138259026173
"258",2018-07-31,"Energy",3.45568996463544
"259",2018-07-31,"Materials",2.92580040123384
"260",2018-07-31,"Industrials",2.30568057570573
"261",2018-07-31,"Consumer Discretionary",1.86511275409547
"262",2018-07-31,"Consumer Staples",2.96535296501895
"263",2018-07-31,"Health Care",1.99348974479321
"264",2018-07-31,"Financials",2.96344168474765
"265",2018-07-31,"Information Technology",1.54925374247007
"266",2018-07-31,"Communication Services",1.53874629751864
"267",2018-07-31,"Utilities",4.18662020388909
"268",2018-07-31,"Real Estate",3.79517289151199
"269",2018-08-06,"Energy",3.55992178268345
"270",2018-08-06,"Materials",2.98648501011265
"271",2018-08-06,"Industrials",2.30557795456767
"272",2018-08-06,"Consumer Discretionary",1.85152956633698
"273",2018-08-06,"Consumer Staples",2.93798082789922
"274",2018-08-06,"Health Care",1.97875624874526
"275",2018-08-06,"Financials",2.97468710211384
"276",2018-08-06,"Information Technology",1.5060715248076
"277",2018-08-06,"Communication Services",1.52162880403693
"278",2018-08-06,"Utilities",4.14822039587005
"279",2018-08-06,"Real Estate",3.68950976848017
"280",2018-08-14,"Energy",3.61799379984973
"281",2018-08-14,"Materials",3.0194400444541
"282",2018-08-14,"Industrials",2.32304764462182
"283",2018-08-14,"Consumer Discretionary",1.83735285386938
"284",2018-08-14,"Consumer Staples",2.98069296844211
"285",2018-08-14,"Health Care",1.99245258603365
"286",2018-08-14,"Financials",3.01738126028256
"287",2018-08-14,"Information Technology",1.50855856515098
"288",2018-08-14,"Communication Services",1.51216493839379
"289",2018-08-14,"Utilities",4.16423546358987
